Day,Date,Time,Level,Course Code,Course Name,Instructor,No. of Students,Required No. of Proctors,Room(s),No. of Students/ Room,No. of proctors / Room
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1108,35,2
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1115,14,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1117,14,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1146,13,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1204,26,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1206,26,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1208,39,2
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1212,13,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1215,14,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1216,39,2
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1217,13,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1218,13,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1225,13,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,1310,13,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,3207,14,1
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,G2-4011,40,2
Saturday,8-Jun-24,10:00 - 12:00,2,CSC204,Principles of Programming Languages,Dr. Dalia,379,22,Hall 8-4238,40,2
Saturday,8-Jun-24,12:30 - 2:30,4-CNE,CNE409,Internetworking, Dr. Nehal,1,16,1208,1,2
Saturday,8-Jun-24,12:30 - 2:30,4-AI,AIN413,Machine Vision, Dr. M. Salama,78,16,1101,13,1
Saturday,8-Jun-24,12:30 - 2:30,4-AI,AIN413,Machine Vision, Dr. M. Salama,78,16,1115,13,1
Saturday,8-Jun-24,12:30 - 2:30,4-AI,AIN413,Machine Vision, Dr. M. Salama,78,16,1146,12,1
Saturday,8-Jun-24,12:30 - 2:30,4-AI,AIN413,Machine Vision, Dr. M. Salama,78,16,1204,20,1
Saturday,8-Jun-24,12:30 - 2:30,4-AI,AIN413,Machine Vision, Dr. M. Salama,78,16,1206,20,1
Saturday,8-Jun-24,12:30 - 2:30,4-CNE,CNE406,Mobile Computing, Dr. Nehal,31,16,1208,31,2
Saturday,8-Jun-24,12:30 - 2:30,4-CS,CSC407,Perception and computer vision, Dr. M. Salama,15,16,1117,15,1
Saturday,8-Jun-24,12:30 - 2:30,4-SWE,SWE412,Software Project Management, Dr. Reham,128,16,1216,38,2
Saturday,8-Jun-24,12:30 - 2:30,4-SWE,SWE412,Software Project Management, Dr. Reham,128,16,1217,13,1
Saturday,8-Jun-24,12:30 - 2:30,4-SWE,SWE412,Software Project Management, Dr. Reham,128,16,1218,13,1
Saturday,8-Jun-24,12:30 - 2:30,4-SWE,SWE412,Software Project Management, Dr. Reham,128,16,1225,13,1
Saturday,8-Jun-24,12:30 - 2:30,4-SWE,SWE412,Software Project Management, Dr. Reham,128,16,1310,13,1
Saturday,8-Jun-24,12:30 - 2:30,4-SWE,SWE412,Software Project Management, Dr. Reham,128,16,G2-4011,38,2
Saturday,8-Jun-24,12:30 - 2:30,4-SWE,SWE408,Software Project Management, Dr. Reham,2,16,G2-4011,2,2
