Day,Date,Time,Level,Course Code,Course Name,Instructor,No. of Students,Required No. of Proctors,Room(s),No. of Students/ Room,No. of proctors / Room
Sunday,9-Jun-24,10:00 - 12:00,4-CS,CSC406,Introduction to visual computing,Dr. A. Seif,1,8,1225,1,1
Sunday,9-Jun-24,10:00 - 12:00,4-CS,CSC413,Advanced Computer Graphics,Dr. A. Seif,15,8,1225,15,1
Sunday,9-Jun-24,10:00 - 12:00,4-SWE,SWE411,Data Warehousing and Data Integration,Dr. Reham,122,8,1212,13,1
Sunday,9-Jun-24,10:00 - 12:00,4-SWE,SWE411,Data Warehousing and Data Integration,Dr. Reham,122,8,1215,14,1
Sunday,9-Jun-24,10:00 - 12:00,4-SWE,SWE411,Data Warehousing and Data Integration,Dr. Reham,122,8,1217,14,1
Sunday,9-Jun-24,10:00 - 12:00,4-SWE,SWE411,Data Warehousing and Data Integration,Dr. Reham,122,8,G2-4011,40,2
Sunday,9-Jun-24,10:00 - 12:00,4-SWE,SWE411,Data Warehousing and Data Integration,Dr. Reham,122,8,Hall 8-4238,41,2
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1115,15,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1117,15,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1146,12,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1204,26,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1206,26,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1212,12,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1215,10,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1216,40,2
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1217,16,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1218,16,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,1225,15,1
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,G2-4011,41,2
Sunday,9-Jun-24,12:30 - 2:30,3,CSC302,Computer Graphics,Dr. Sherif,284,18,Hall 8-4238,40,2
Sunday,9-Jun-24,12:30 - 2:30,2,MAT201,Linear Algebra II,Dr. Adel,40,18,1208,40,2
