index,room,capacity
1,1101,16
2,1108,40
3,1110,40
4,1112,40
5,1114,40
6,1115,16
7,1117,16
8,1146,16
9,1204,16
10,1206,16
11,1208,40
12,1212,16
13,1215,16
14,1216,40
15,1217,16
16,1218,16
17,1225,16
18,1310,16
19,3207,16
20,G2-4011,40
21,Hall 8-4238,40
